order_id,customer_id,order_date,gross_revenue,channel,product_category
O502201,C101373,2025-12-14 20:00:00,57.97,instagram,healthy_snacks
O500238,C100157,2025-05-07 10:01:00,90.17,referral,supplements
O501971,C101225,2025-11-22 09:30:00,28.4,organic_search,vitamins
O501093,C100673,2025-10-07 19:13:00,82.4,organic_search,wellness
O500997,C100622,2025-11-26T02:22:00+05:30,78.98,email,protein
O502070,C101285,2025-12-17 19:39:00,66.07,instagram,wellness
O500608,C100390,2025-10-25T13:18:00+05:30,56.74,organic_search,protein
O502117,C101315,2025-12-02 09:16:00,77.16,organic_search,vitamins
O500310,C100194,2025-06-15 13:21:00,80.84,organic_search,supplements
O500731,C100460,2025-07-17 11:57:00,,email,wellness
O502685,C101691,2026-01-16 19:38:00,56.37,instagram,vitamins
O501239,C100758,2025-09-23 11:54:00,55.3,organic_search,protein
O500817,C100507,2025-08-06 06:30:00,74.87,organic_search,wellness
O503432,C102213,2026-03-10 11:04:00,67.97,paid_search,wellness
O500613,C100392,2025-07-08T17:20:00+05:30,56.15,instagram,protein
O502135,C101328,2025-12-21 14:25:00,98.09,referral,vitamins
O502074,C101288,2025-12-17 11:22:00,51.85,organic_search,supplements
O501572,C100974,2025-10-08 16:43:00,11.57,email,supplements
O503112,C101975,2026-03-25 20:44:00,51.58,organic_search,protein
O503066,C101950,2026-02-01 15:57:00,126.05,email,wellness
O502653,C101668,2026-01-02T16:01:00+05:30,65.69,email,wellness
O503242,C102069,2026-02-23T10:16:00+05:30,45.38,instagram,supplements
O502889,C101822,2026-02-24 09:11:00,30.87,paid_search,vitamins
O501347,C100831,2025-09-17 19:22:00,68.03,instagram,fitness_gear
O502475,C101553,2026-01-26 16:18:00,25.8,paid_search,fitness_gear
O502794,C101761,2026-01-24 18:54:00,68.08,instagram,healthy_snacks
O500737,C100464,2025-12-30 12:05:00,84.31,referral,protein
O500159,C100103,2025-05-01 18:52:00,88.77,paid_search,protein
O503705,C102453,2026-04-15 20:41:00,8,referral,supplements
O501587,C100980,2025-10-25 21:08:00,35.41,instagram,vitamins
O503208,C102042,2026-02-24 18:10:00,85.85,paid_search,protein
O501619,C100999,2025-10-12 16:43:00,69.18,paid_search,supplements
O502995,C101895,2026-03-13 04:39:00,66.97,organic_search,supplements
O503667,C102417,2026-04-14 22:23:00,78.43,email,protein
O502462,C101546,2026-01-05 15:59:00,89.36,email,protein
O500126,C100081,2025-05-13T12:59:00+05:30,83.51,email,fitness_gear
O501175,C100722,2025-09-30T07:47:00+05:30,90.65,paid_search,protein
O501411,C100872,2026-02-16 00:12:00,60.43,organic_search,healthy_snacks
O500483,C100302,2025-06-14 13:59:00,54.84,instagram,protein
O501914,C101188,2026-01-10 12:18:00,102.07,email,vitamins
O501864,C101155,2025-11-13 15:31:00,99.47,organic_search,supplements
O503250,C102073,2026-02-06 20:04:00,87.95,organic_search,fitness_gear
O501699,C101044,2025-12-14 19:51:00,77.14,paid_search,protein
O500299,C100189,2025-07-19 10:27:00,82.19,referral,vitamins
O502670,C101678,2026-01-19T20:46:00+05:30,68.73,organic_search,protein
O500182,C100119,2025-05-12 20:35:00,63.43,paid_search,supplements
O500954,C100593,2025-08-15 20:35:00,111.26,paid_search,vitamins
O503304,C102115,2026-03-27 21:06:00,89.23,paid_search,healthy_snacks
O502243,C101405,2026-01-03 21:26:00,54.38,instagram,protein
O500155,C100100,2025-05-16 18:23:00,45.46,marketplace,healthy_snacks
O501932,C101200,2025-11-30 03:47:00,82.13,organic_search,supplements
O502583,C101619,2026-01-21 16:11:00,67.27,paid_search,supplements
O502622,C101649,2026-01-18 11:51:00,83.23,organic_search,fitness_gear
O500542,C100342,2025-07-10T12:28:00+05:30,99.88,email,healthy_snacks
O500378,C100236,2025-06-24 11:20:00,142.06,referral,wellness
O500090,C100058,2025-05-13 18:41:00,34.69,instagram,vitamins
O500601,C100387,2025-07-24 14:50:00,62.69,instagram,wellness
O503275,C102094,2026-03-28 13:05:00,29.92,organic_search,healthy_snacks
O503455,C102227,2026-03-27 23:08:00,98.1,email,healthy_snacks
O500384,C100237,2025-07-17 18:36:00,66.41,email,protein
O502661,C101672,2026-01-14 12:50:00,150.19,referral,healthy_snacks
O502478,C101554,2026-03-25 07:56:00,122.26,referral,protein
O500714,C100450,2025-12-19T03:49:00+05:30,74.42,email,protein
O503531,C102292,2026-04-28 13:17:00,54.16,instagram,protein
O500388,C100239,2025-07-02 16:55:00,75.64,organic_search,protein
O502061,C101279,2025-12-04 14:28:00,90.8,email,vitamins
O502603,C101632,2026-02-14 07:59:00,93.48,instagram,wellness
O500672,C100424,2025-08-11 14:59:00,70.76,email,supplements
O500537,C100339,2025-07-20 11:03:00,45.21,instagram,supplements
O503669,C102418,2026-04-03 14:53:00,82.36,paid_search,vitamins
